,channel,subs,subss,views,date,like,hate,review
1,프레이 TV,51.9,519000,3650,2020. 7. 27.,359,8,170
2,프레이 TV,51.9,519000,262079,2020. 7. 13.,902,78,275
3,프레이 TV,51.9,519000,302271,2020. 7. 12.,1100,84,163
4,프레이 TV,51.9,519000,446057,2020. 7. 9.,1400,123,238
5,프레이 TV,51.9,519000,208579,2020. 7. 8.,666,54,117
6,프레이 TV,51.9,519000,207809,2020. 7. 8.,816,61,186
7,프레이 TV,51.9,519000,317213,2020. 7. 6.,1200,103,195
8,프레이 TV,51.9,519000,357027,2020. 7. 5.,1200,112,217
9,프레이 TV,51.9,519000,212133,2020. 7. 3.,907,78,163
10,프레이 TV,51.9,519000,403917,2020. 7. 3.,1100,111,307
11,양팡 YangPang,254,2540000,728711,2020. 7. 26.,19000,305,1294
12,양팡 YangPang,254,2540000,982069,2020. 7. 25.,26000,371,3555
13,양팡 YangPang,254,2540000,975926,2020. 7. 24.,21000,282,1386
14,양팡 YangPang,254,2540000,871222,2020. 7. 23.,19000,379,1490
15,양팡 YangPang,254,2540000,1389551,2020. 7. 22.,26000,459,1735
16,양팡 YangPang,254,2540000,1237674,2020. 7. 21.,27000,523,3216
17,양팡 YangPang,254,2540000,1379920,2020. 7. 19.,29000,494,2143
18,양팡 YangPang,254,2540000,1093921,2020. 7. 18.,27000,281,1793
19,양팡 YangPang,254,2540000,1517550,2020. 7. 17.,42000,452,4671
20,양팡 YangPang,254,2540000,1067478,2020. 7. 16.,24000,408,2812
21,tzuyang쯔양,267,2670000,550062,2020. 7. 24.,11000,354,1095
22,tzuyang쯔양,267,2670000,1132183,2020. 7. 22.,20000,530,1702
23,tzuyang쯔양,267,2670000,930478,2020. 7. 21.,20000,524,1386
24,tzuyang쯔양,267,2670000,2106391,2020. 7. 19.,36000,1100,2745
25,tzuyang쯔양,267,2670000,1408125,2020. 7. 18.,21000,501,1917
26,tzuyang쯔양,267,2670000,1531954,2020. 7. 16.,26000,696,1846
27,tzuyang쯔양,267,2670000,819252,2020. 7. 14.,18000,483,962
28,tzuyang쯔양,267,2670000,582074,2020. 7. 13.,13000,228,883
29,tzuyang쯔양,267,2670000,969864,2020. 7. 11.,21000,560,1668
30,tzuyang쯔양,267,2670000,1853976,2020. 7. 9.,35000,863,1794
31,문복희 Eat with Boki,456,4560000,1256743,2020. 7. 25.,35000,1000,2558
32,문복희 Eat with Boki,456,4560000,1992516,2020. 7. 23.,51000,1400,3119
33,문복희 Eat with Boki,456,4560000,2540922,2020. 7. 21.,69000,1500,3528
34,문복희 Eat with Boki,456,4560000,3963980,2020. 7. 19.,100000,2500,5967
35,문복희 Eat with Boki,456,4560000,2261402,2020. 7. 17.,60000,1100,3012
36,문복희 Eat with Boki,456,4560000,1998024,2020. 7. 15.,47000,1100,2353
37,문복희 Eat with Boki,456,4560000,1704010,2020. 7. 13.,41000,974,2238
38,문복희 Eat with Boki,456,4560000,2142936,2020. 7. 11.,58000,1400,3661
39,문복희 Eat with Boki,456,4560000,4273202,2020. 7. 9.,91000,2400,5058
40,문복희 Eat with Boki,456,4560000,2802314,2020. 7. 7.,59000,1700,3239
41,봉길이 Bonggil,76.5,765000,161790,2020. 7. 26.,8100,227,543
42,봉길이 Bonggil,76.5,765000,337113,2020. 7. 24.,12000,349,708
43,봉길이 Bonggil,76.5,765000,305150,2020. 7. 22.,12000,323,782
44,봉길이 Bonggil,76.5,765000,290025,2020. 7. 17.,11000,286,675
45,봉길이 Bonggil,76.5,765000,421950,2020. 7. 15.,14000,376,625
46,봉길이 Bonggil,76.5,765000,271768,2020. 7. 13.,11000,287,552
47,봉길이 Bonggil,76.5,765000,418047,2020. 7. 10.,14000,432,616
48,봉길이 Bonggil,76.5,765000,273953,2020. 7. 8.,9000,306,370
49,봉길이 Bonggil,76.5,765000,853552,2020. 7. 6.,26000,954,1334
50,봉길이 Bonggil,76.5,765000,1049131,2020. 7. 3.,30000,971,1095
51,PONY Syndrome,571,5710000,240019,2020. 7. 19.,20000,117,741
52,PONY Syndrome,571,5710000,399967,2020. 7. 13.,19000,197,517
53,PONY Syndrome,571,5710000,670073,2020. 7. 8.,31000,198,649
54,PONY Syndrome,571,5710000,508991,2020. 6. 6.,19000,252,618
55,PONY Syndrome,571,5710000,117438,2020. 5. 25.,3800,123,255
56,PONY Syndrome,571,5710000,255976,2020. 5. 13.,9000,133,419
57,PONY Syndrome,571,5710000,410931,2020. 4. 26.,24000,167,718
58,PONY Syndrome,571,5710000,1281667,2020. 4. 16.,33000,430,800
59,PONY Syndrome,571,5710000,202795,2020. 3. 29.,4200,100,210
60,PONY Syndrome,571,5710000,557217,2020. 3. 25.,18000,152,640
61,와썹맨-Wassup Man,223,2230000,498380,2020. 7. 24.,9600,140,2181
62,와썹맨-Wassup Man,223,2230000,581419,2020. 7. 17.,9200,177,832
63,와썹맨-Wassup Man,223,2230000,263950,2020. 7. 10.,4500,1000,1077
64,와썹맨-Wassup Man,223,2230000,854716,2020. 7. 3.,15000,289,1519
65,와썹맨-Wassup Man,223,2230000,381169,2020. 6. 26.,8300,138,1118
66,와썹맨-Wassup Man,223,2230000,216371,2020. 6. 12.,5600,72,523
67,와썹맨-Wassup Man,223,2230000,292342,2020. 6. 5.,6000,145,566
68,와썹맨-Wassup Man,223,2230000,265487,2020. 5. 29.,7600,101,478
69,와썹맨-Wassup Man,223,2230000,596323,2020. 5. 22.,12000,221,946
70,와썹맨-Wassup Man,223,2230000,909412,2020. 4. 3.,12000,337,2285
71,김습습Double Soup,57.3,573000,37664,2020. 7. 25.,1100,14,298
72,김습습Double Soup,57.3,573000,84002,2020. 7. 18.,3200,26,211
73,김습습Double Soup,57.3,573000,169138,2020. 7. 11.,4100,43,383
74,김습습Double Soup,57.3,573000,164528,2020. 7. 4.,2800,47,424
75,김습습Double Soup,57.3,573000,1284833,2020. 6. 27.,34000,508,1630
76,김습습Double Soup,57.3,573000,145257,2020. 6. 20.,3500,30,475
77,김습습Double Soup,57.3,573000,110507,2020. 6. 13.,2100,31,226
78,김습습Double Soup,57.3,573000,98195,2020. 6. 6.,2400,33,292
79,김습습Double Soup,57.3,573000,166263,2020. 5. 30.,4300,41,504
80,김습습Double Soup,57.3,573000,1549970,2020. 5. 23.,61000,372,1121