,channel,subs,views,date,like,hate,review
1,프레이 TV,구독자 51.9만명,"조회수 3,650회",•2020. 7. 27.,359,8,댓글 170개
2,프레이 TV,구독자 51.9만명,"조회수 262,079회",•2020. 7. 13.,902,78,댓글 275개
3,프레이 TV,구독자 51.9만명,"조회수 302,271회",•2020. 7. 12.,1.1천,84,댓글 163개
4,프레이 TV,구독자 51.9만명,"조회수 446,057회",•2020. 7. 9.,1.4천,123,댓글 238개
5,프레이 TV,구독자 51.9만명,"조회수 208,579회",•2020. 7. 8.,666,54,댓글 117개
6,프레이 TV,구독자 51.9만명,"조회수 207,809회",•2020. 7. 8.,816,61,댓글 186개
7,프레이 TV,구독자 51.9만명,"조회수 317,213회",•2020. 7. 6.,1.2천,103,댓글 195개
8,프레이 TV,구독자 51.9만명,"조회수 357,027회",•2020. 7. 5.,1.2천,112,댓글 217개
9,프레이 TV,구독자 51.9만명,"조회수 212,133회",•2020. 7. 3.,907,78,댓글 163개
10,프레이 TV,구독자 51.9만명,"조회수 403,917회",•2020. 7. 3.,1.1천,111,댓글 307개
11,양팡 YangPang,구독자 254만명,"조회수 728,711회",•2020. 7. 26.,1.9만,305,"댓글 1,294개"
12,양팡 YangPang,구독자 254만명,"조회수 982,069회",•2020. 7. 25.,2.6만,371,"댓글 3,555개"
13,양팡 YangPang,구독자 254만명,"조회수 975,926회",•2020. 7. 24.,2.1만,282,"댓글 1,386개"
14,양팡 YangPang,구독자 254만명,"조회수 871,222회",•2020. 7. 23.,1.9만,379,"댓글 1,490개"
15,양팡 YangPang,구독자 254만명,"조회수 1,389,551회",•2020. 7. 22.,2.6만,459,"댓글 1,735개"
16,양팡 YangPang,구독자 254만명,"조회수 1,237,674회",•2020. 7. 21.,2.7만,523,"댓글 3,216개"
17,양팡 YangPang,구독자 254만명,"조회수 1,379,920회",•2020. 7. 19.,2.9만,494,"댓글 2,143개"
18,양팡 YangPang,구독자 254만명,"조회수 1,093,921회",•2020. 7. 18.,2.7만,281,"댓글 1,793개"
19,양팡 YangPang,구독자 254만명,"조회수 1,517,550회",•2020. 7. 17.,4.2만,452,"댓글 4,671개"
20,양팡 YangPang,구독자 254만명,"조회수 1,067,478회",•2020. 7. 16.,2.4만,408,"댓글 2,812개"
21,tzuyang쯔양,구독자 267만명,"조회수 550,062회",•2020. 7. 24.,1.1만,354,"댓글 1,095개"
22,tzuyang쯔양,구독자 267만명,"조회수 1,132,183회",•2020. 7. 22.,2만,530,"댓글 1,702개"
23,tzuyang쯔양,구독자 267만명,"조회수 930,478회",•2020. 7. 21.,2만,524,"댓글 1,386개"
24,tzuyang쯔양,구독자 267만명,"조회수 2,106,391회",•2020. 7. 19.,3.6만,1.1천,"댓글 2,745개"
25,tzuyang쯔양,구독자 267만명,"조회수 1,408,125회",•2020. 7. 18.,2.1만,501,"댓글 1,917개"
26,tzuyang쯔양,구독자 267만명,"조회수 1,531,954회",•2020. 7. 16.,2.6만,696,"댓글 1,846개"
27,tzuyang쯔양,구독자 267만명,"조회수 819,252회",•2020. 7. 14.,1.8만,483,댓글 962개
28,tzuyang쯔양,구독자 267만명,"조회수 582,074회",•2020. 7. 13.,1.3만,228,댓글 883개
29,tzuyang쯔양,구독자 267만명,"조회수 969,864회",•2020. 7. 11.,2.1만,560,"댓글 1,668개"
30,tzuyang쯔양,구독자 267만명,"조회수 1,853,976회",•2020. 7. 9.,3.5만,863,"댓글 1,794개"
31,문복희 Eat with Boki,구독자 456만명,"조회수 1,256,743회",•2020. 7. 25.,3.5만,1천,"댓글 2,558개"
32,문복희 Eat with Boki,구독자 456만명,"조회수 1,992,516회",•2020. 7. 23.,5.1만,1.4천,"댓글 3,119개"
33,문복희 Eat with Boki,구독자 456만명,"조회수 2,540,922회",•2020. 7. 21.,6.9만,1.5천,"댓글 3,528개"
34,문복희 Eat with Boki,구독자 456만명,"조회수 3,963,980회",•2020. 7. 19.,10만,2.5천,"댓글 5,967개"
35,문복희 Eat with Boki,구독자 456만명,"조회수 2,261,402회",•2020. 7. 17.,6만,1.1천,"댓글 3,012개"
36,문복희 Eat with Boki,구독자 456만명,"조회수 1,998,024회",•2020. 7. 15.,4.7만,1.1천,"댓글 2,353개"
37,문복희 Eat with Boki,구독자 456만명,"조회수 1,704,010회",•2020. 7. 13.,4.1만,974,"댓글 2,238개"
38,문복희 Eat with Boki,구독자 456만명,"조회수 2,142,936회",•2020. 7. 11.,5.8만,1.4천,"댓글 3,661개"
39,문복희 Eat with Boki,구독자 456만명,"조회수 4,273,202회",•2020. 7. 9.,9.1만,2.4천,"댓글 5,058개"
40,문복희 Eat with Boki,구독자 456만명,"조회수 2,802,314회",•2020. 7. 7.,5.9만,1.7천,"댓글 3,239개"
41,봉길이 Bonggil,구독자 76.5만명,"조회수 161,790회",•2020. 7. 26.,8.1천,227,댓글 543개
42,봉길이 Bonggil,구독자 76.5만명,"조회수 337,113회",•2020. 7. 24.,1.2만,349,댓글 708개
43,봉길이 Bonggil,구독자 76.5만명,"조회수 305,150회",•2020. 7. 22.,1.2만,323,댓글 782개
44,봉길이 Bonggil,구독자 76.5만명,"조회수 290,025회",•2020. 7. 17.,1.1만,286,댓글 675개
45,봉길이 Bonggil,구독자 76.5만명,"조회수 421,950회",•2020. 7. 15.,1.4만,376,댓글 625개
46,봉길이 Bonggil,구독자 76.5만명,"조회수 271,768회",•2020. 7. 13.,1.1만,287,댓글 552개
47,봉길이 Bonggil,구독자 76.5만명,"조회수 418,047회",•2020. 7. 10.,1.4만,432,댓글 616개
48,봉길이 Bonggil,구독자 76.5만명,"조회수 273,953회",•2020. 7. 8.,9천,306,댓글 370개
49,봉길이 Bonggil,구독자 76.5만명,"조회수 853,552회",•2020. 7. 6.,2.6만,954,"댓글 1,334개"
50,봉길이 Bonggil,구독자 76.5만명,"조회수 1,049,131회",•2020. 7. 3.,3만,971,"댓글 1,095개"
51,PONY Syndrome,구독자 571만명,"조회수 240,019회",•2020. 7. 19.,2만,117,댓글 741개
52,PONY Syndrome,구독자 571만명,"조회수 399,967회",•2020. 7. 13.,1.9만,197,댓글 517개
53,PONY Syndrome,구독자 571만명,"조회수 670,073회",•2020. 7. 8.,3.1만,198,댓글 649개
54,PONY Syndrome,구독자 571만명,"조회수 508,991회",•2020. 6. 6.,1.9만,252,댓글 618개
55,PONY Syndrome,구독자 571만명,"조회수 117,438회",•2020. 5. 25.,3.8천,123,댓글 255개
56,PONY Syndrome,구독자 571만명,"조회수 255,976회",•2020. 5. 13.,9천,133,댓글 419개
57,PONY Syndrome,구독자 571만명,"조회수 410,931회",•2020. 4. 26.,2.4만,167,댓글 718개
58,PONY Syndrome,구독자 571만명,"조회수 1,281,667회",•2020. 4. 16.,3.3만,430,댓글 800개
59,PONY Syndrome,구독자 571만명,"조회수 202,795회",•2020. 3. 29.,4.2천,100,댓글 210개
60,PONY Syndrome,구독자 571만명,"조회수 557,217회",•2020. 3. 25.,1.8만,152,댓글 640개
61,와썹맨-Wassup Man,구독자 223만명,"조회수 498,380회",•2020. 7. 24.,9.6천,140,"댓글 2,181개"
62,와썹맨-Wassup Man,구독자 223만명,"조회수 581,419회",•2020. 7. 17.,9.2천,177,댓글 832개
63,와썹맨-Wassup Man,구독자 223만명,"조회수 263,950회",•2020. 7. 10.,4.5천,1천,"댓글 1,077개"
64,와썹맨-Wassup Man,구독자 223만명,"조회수 854,716회",•2020. 7. 3.,1.5만,289,"댓글 1,519개"
65,와썹맨-Wassup Man,구독자 223만명,"조회수 381,169회",•2020. 6. 26.,8.3천,138,"댓글 1,118개"
66,와썹맨-Wassup Man,구독자 223만명,"조회수 216,371회",•2020. 6. 12.,5.6천,72,댓글 523개
67,와썹맨-Wassup Man,구독자 223만명,"조회수 292,342회",•2020. 6. 5.,6천,145,댓글 566개
68,와썹맨-Wassup Man,구독자 223만명,"조회수 265,487회",•2020. 5. 29.,7.6천,101,댓글 478개
69,와썹맨-Wassup Man,구독자 223만명,"조회수 596,323회",•2020. 5. 22.,1.2만,221,댓글 946개
70,와썹맨-Wassup Man,구독자 223만명,"조회수 909,412회",•2020. 4. 3.,1.2만,337,"댓글 2,285개"
71,김습습Double Soup,구독자 57.3만명,"조회수 37,664회",•2020. 7. 25.,1.1천,14,댓글 298개
72,김습습Double Soup,구독자 57.3만명,"조회수 84,002회",•2020. 7. 18.,3.2천,26,댓글 211개
73,김습습Double Soup,구독자 57.3만명,"조회수 169,138회",•2020. 7. 11.,4.1천,43,댓글 383개
74,김습습Double Soup,구독자 57.3만명,"조회수 164,528회",•2020. 7. 4.,2.8천,47,댓글 424개
75,김습습Double Soup,구독자 57.3만명,"조회수 1,284,833회",•2020. 6. 27.,3.4만,508,"댓글 1,630개"
76,김습습Double Soup,구독자 57.3만명,"조회수 145,257회",•최초 공개: 2020. 6. 20.,3.5천,30,댓글 475개
77,김습습Double Soup,구독자 57.3만명,"조회수 110,507회",•2020. 6. 13.,2.1천,31,댓글 226개
78,김습습Double Soup,구독자 57.3만명,"조회수 98,195회",•2020. 6. 6.,2.4천,33,댓글 292개
79,김습습Double Soup,구독자 57.3만명,"조회수 166,263회",•2020. 5. 30.,4.3천,41,댓글 504개
80,김습습Double Soup,구독자 57.3만명,"조회수 1,549,970회",•2020. 5. 23.,6.1만,372,"댓글 1,121개"
